variable,sum
Nome,0.0
Dia 1,1283.2174538635436
Dia 2,1491.850026165866
Dia 3,1283.2174547948441
Dia 4,1491.8500258214813
Dia 5,1283.217455183988
Dia 6,1491.850024027941
Dia 7,1283.217453257204
