Macros,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7
Prot,225.96375032008206,203.12476897996152,225.96375018528815,203.1247689853858,225.9637503074901,203.12476894083278,225.96375022705885
Carb,484.0000000057666,484.0000000189625,484.0000000057648,484.00000001896257,484.0000000057671,484.0000000189689,484.0000000057678
Gord,108.64619543645,118.79685375818298,108.64619549635947,118.79685375577316,108.6461954420469,118.79685377557416,108.64619547779357
