Nome,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7
Arroz Agulinha Tipo 1 Qualita,0.0,66.66666637954584,0.0,66.66666864142643,0.0,66.66666740522079,0.0
Batata Inglesa,0.0,99.99999973804154,0.0,100.00000144098748,0.0,99.99999912860895,0.0
Batata Doce Rosada,300.00000087052604,0.0,299.99999855201634,0.0,300.00000024665763,0.0,299.99999970121024
Macarrao Adria Espaguete 8,187.50000117339457,0.0,187.4999987837792,0.0,187.50000154353276,0.0,187.4999984913654
Mandioca Pre Cozida Swift,0.0,100.00000843555594,0.0,100.00000088115284,0.0,99.99999081903468,0.0
Tapioca da Terrinha,187.50000006123707,0.0,187.49999922673464,0.0,187.50000182226086,0.0,187.49999855142158
Farofa de Mandioca Tradicional Yoki,0.0,50.950516252190106,0.0,50.95051219080371,0.0,50.95051511273364,0.0
Feijao Preto Tipo 1 Qualita,0.0,333.33333104441243,0.0,333.3333345218248,0.0,333.33333428349647,0.0
Aveia em flocos regulares quaker,168.75000021952923,0.0,168.7500000230324,0.0,168.74999957803652,0.0,168.75000016279108
Granola Qualita ,0.0,266.6666657105444,0.0,266.6666656775656,0.0,266.6666675423511,0.0
Pao Frances,0.0,49.99999856354421,0.0,50.000001352318435,0.0,50.000000361573086,0.0
Pao de Forma Integral Wickbold,0.0,33.33333175528529,0.0,33.333332340331964,0.0,33.333336080822605,0.0
Frango Congelado Seara,375.0000011838028,0.0,374.999998403724,0.0,375.0000010689514,0.0,374.9999991480944
Carne Moida Patinho Swift,165.44731807036285,0.0,165.44732127417106,0.0,165.44731895755862,0.0,165.44732065324467
Atum Solido Gomes da Costa Natural,0.0,40.00000222159593,0.0,39.99999873193169,0.0,39.999999116310526,0.0
Sardinha em oleo Gomes da Costa,0.0,64.12843578884528,0.0,64.12843560849485,0.0,64.12843521613905,0.0
File de Tilapia Frescatto,0.0,106.6666633584748,0.0,106.66666287729764,0.0,106.66667387629862,0.0
Cubos de Salmao Fresco,0.0,106.6666705946445,0.0,106.66667255729486,0.0,106.66665688720909,0.0
Ovos Vermelhos Galinha Caipira Qualita,188.57142842391906,115.23809414100214,188.57142842391906,115.2380937168368,188.57142842391903,115.23809818110476,188.57142842391846
Azeite de Oliva Andorinha,34.28571428263781,20.952380875324433,34.285714282637585,20.952381172544996,34.285714282637855,20.95238086097825,34.285714282637706
Cenoura Qualita,0.0,53.33333331270805,0.0,53.33333358401786,0.0,53.3333334486035,0.0
Brocolis Congelados Taeq,37.50000006191118,0.0,37.500000061910995,0.0,37.500000061910995,0.0,37.500000061910995
Couve Manteiga Qualita,0.0,53.33333359813096,0.0,53.33333306599347,0.0,53.333333413840144,0.0
Quiabo Qualita,40.000000190432765,0.0,40.000000118635505,0.0,39.99999973017043,0.0,40.00000008763396
Jilo,0.0,53.333333056400846,0.0,53.33333349215221,0.0,53.333334067780456,0.0
Vagem Macarrao Qualita,0.0,53.333332548915756,0.0,53.33333219798335,0.0,53.33333533194336,0.0
Abobora Moranga,40.00000037714496,0.0,40.000000352197226,0.0,40.000000358697456,0.0,40.000000361305766
Tomate,0.0,53.33333363394979,0.0,53.33333419594332,0.0,53.33333242518868,0.0
Pepino,39.999999907634674,0.0,39.99999986891447,0.0,40.00000020318622,0.0,40.00000034041443
Abobrinha Italiana,0.0,53.333333208273274,0.0,53.33333339917027,0.0,53.333333789270384,0.0
Queijo Mussarela Sadia,68.57142848285895,0.0,68.57142848285895,0.0,68.57142848285893,0.0,68.57142848285893
Presunto Seara,39.999999977114705,0.0,40.000000034400095,0.0,39.999999636920414,0.0,39.99999996454794
Requeijao,51.42857136514794,31.428571359798305,51.428571365148215,31.42857138914159,51.42857136514809,31.428571768908817,51.428571365148144
Iogurte,0.0,133.33333384744546,0.0,133.3333296531073,0.0,133.3333369205344,0.0
Banana,145.62430815011135,0.0,145.6243200449993,0.0,145.6243052961504,0.0,145.62432072329375
