variable,sum
Nome,0.0
Dia 1,2070.178772797766
Dia 2,1939.364669424629
Dia 3,2070.1787792990795
Dia 4,1939.3646626883215
Dia 5,2070.1787710585977
Dia 6,1939.3646660379513
Dia 7,2070.1787808017975
