Dia 1;Dia 2;Dia 3;Dia 4;Dia 5;Dia 6;Dia 7
0.224797261;0.22;0.22;0.22;0.22;0.22;0.22
0.52230582;0.52;0.52;0.52;0.52;0.52;0.52
0.252896919;0.25;0.25;0.25;0.25;0.25;0.25
