Nome,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7
Arroz Agulinha Tipo 1 Qualita,0.0,66.66666658893772,0.0,66.66666752143887,0.0,66.6666666336653,0.0
Batata Inglesa,0.0,100.00000053558863,0.0,100.00000120824714,0.0,99.99999903018063,0.0
Batata Doce Rosada,143.5139592519454,0.0,143.51395836379888,0.0,143.51396081707094,0.0,143.51395924877713
Macarrao Adria Espaguete 8,187.5000000602781,0.0,187.49999977491814,0.0,187.49999970831269,0.0,187.49999990569626
Mandioca Pre Cozida Swift,0.0,99.9999998455387,0.0,100.00000031233874,0.0,100.00000020960988,0.0
Tapioca da Terrinha,50.00000302698799,0.0,50.000003824333334,0.0,50.000003029506686,0.0,50.000002931942916
Farofa de Mandioca Tradicional Yoki,0.0,33.33333374629144,0.0,33.33333361476619,0.0,33.33333317897367,0.0
Feijao Preto Tipo 1 Qualita,0.0,265.022470608318,0.0,265.0224687606409,0.0,265.02247453209435,0.0
Aveia em flocos regulares quaker,168.74999970793428,0.0,168.74999925899928,0.0,168.7499993331439,0.0,168.7500000395629
Granola Qualita ,0.0,40.00000070917582,0.0,40.00000014127093,0.0,39.99999966778529,0.0
Pao Frances,0.0,50.000000056543335,0.0,50.00000027864059,0.0,50.00000017195968,0.0
Pao de Forma Integral Wickbold,0.0,33.33333331295587,0.0,33.33333343930688,0.0,33.33333357994907,0.0
Frango Congelado Seara,210.65257856793065,0.0,210.6525803388042,0.0,210.65257952100023,0.0,210.6525784435272
Carne Moida Patinho Swift,75.00000023615596,0.0,74.99999946121885,0.0,74.99999998928405,0.0,75.00000076790542
Atum Solido Gomes da Costa Natural,0.0,40.00000086682665,0.0,40.00000049301397,0.0,39.99999878949728,0.0
Sardinha em oleo Gomes da Costa,0.0,41.66666663586387,0.0,41.666666909809045,0.0,41.66666676801551,0.0
File de Tilapia Frescatto,0.0,106.66666919550944,0.0,106.66666841704208,0.0,106.66666262126944,0.0
Cubos de Salmao Fresco,0.0,106.66666422483783,0.0,106.66666751778722,0.0,106.66666833844845,0.0
Ovos Vermelhos Galinha Caipira Qualita,68.74999980967745,0.0,68.74999929071711,0.0,68.74999972943107,0.0,68.74999852060135
Azeite de Oliva Andorinha,24.285714315823082,34.28571407162661,24.285714542345612,34.285714071626266,24.285714426739442,34.28571407162534,24.285714382462213
Cenoura Qualita,0.0,53.33333375668586,0.0,53.333333806170565,0.0,53.33333368438212,0.0
Brocolis Congelados Taeq,37.500000200392094,0.0,37.50000020039208,0.0,37.50000020039208,0.0,37.50000020039208
Couve Manteiga Qualita,0.0,53.33333319709607,0.0,53.33333359946534,0.0,53.33333342212246,0.0
Quiabo Qualita,40.00000006125088,0.0,40.000000149613896,0.0,40.00000006940506,0.0,40.00000006843413
Jilo,0.0,53.33333365690739,0.0,53.33333377016098,0.0,53.33333391251937,0.0
Vagem Macarrao Qualita,0.0,53.33333337406656,0.0,53.3333333668535,0.0,53.33333349239517,0.0
Abobora Moranga,40.000000634891855,0.0,40.00000066991002,0.0,40.000000636461614,0.0,40.000000630643925
Tomate,0.0,53.3333336258328,0.0,53.33333366990261,0.0,53.33333361240278,0.0
Pepino,40.00000026829437,0.0,40.00000030567699,0.0,40.000000266832735,0.0,40.000000264553854
Abobrinha Italiana,0.0,53.33333383249233,0.0,53.333333847375684,0.0,53.33333379692145,0.0
Queijo Mussarela Sadia,39.999999766481785,0.0,39.99999919909493,0.0,39.999999343689296,0.0,39.99999982820706
Presunto Seara,39.999999375420614,0.0,39.99999990447736,0.0,39.999999450121265,0.0,39.99999958090839
Requeijao,42.26519830240464,20.875169701682672,42.26519825621485,20.875169460764383,42.26519839521043,20.87516973051598,42.26519824307123
Iogurte,0.0,133.33333462308823,0.0,133.33333161485936,0.0,133.3333347836077,0.0
Banana,75.00000027767469,0.0,75.0000012543284,0.0,75.00000026738664,0.0,75.00000020051783
