Dia 1;Dia 2;Dia 3;Dia 4;Dia 5;Dia 6;Dia 7
0.22;0.22;0.22;0.22;0.22;0.22;0.22
0.47;0.47;0.47;0.47;0.47;0.47;0.47
0.31;0.31;0.31;0.31;0.31;0.31;0.31
