variable,sum
Nome,0.0
Dia 1,1214.1828289415153
Dia 2,1544.1836396368383
Dia 3,1214.182828919861
Dia 4,1544.1836382822735
Dia 5,1214.182829028808
Dia 6,1544.1836394577265
Dia 7,1214.1828293543738
