Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Nome
133.55935216176366,133.5593521643793,133.55935189182733,133.5593518931515,133.559351893443,133.55935238810451,133.55935189391326,Arroz Agulinha Tipo 1 Qualita
47.619046790708886,47.61904679091855,47.61904826095433,47.619048261072926,47.61904826109914,47.61904684650319,47.61904826113122,Batata Inglesa
19.04761910551028,19.047619105538907,19.047619063658388,19.047619063675967,19.047619063679964,19.04761907462536,19.04761906368495,Batata Doce Rosada
14.28571429732987,14.28571429734363,14.28571429532271,14.285714295329486,14.285714295331125,14.285714297917357,14.28571429533318,Batata Baroa
107.14285763495101,107.14285762817502,107.14285676310494,107.14285676985712,107.14285677089624,107.1428572050466,107.14285676905682,Macarrao Adria Espaguete 8
28.57142857899143,28.571428579043204,28.571428588866098,28.57142858889278,28.571428588898264,28.571428597654688,28.571428588906393,Mandioca Pre Cozida Swift
23.809523888802094,23.8095238888829,23.809523800522253,23.809523800561017,23.809523800571267,23.809523816720887,23.809523800582046,Tapioca da Terrinha
19.047619056322638,19.047619056383322,19.04761904389375,19.047619043922754,19.04761904393017,19.04761907245878,19.047619043946963,Farofa de Mandioca Tradicional Yoki
214.28571361140666,214.28571361928866,214.28571449198247,214.28571447348253,214.28571447037763,214.28571477777072,214.28571447312117,Feijao Preto Tipo 1 Qualita
21.428571474412486,21.42857147445624,21.42857146876396,21.428571468768492,21.428571468772095,21.428571405281797,21.428571468798086,Aveia em flocos regulares quaker
38.09523823115356,38.095238231299426,38.095238125401636,38.09523812546866,38.09523812548022,38.095237819033436,38.09523812550758,Granola Qualita 
2.380952397415428,2.3809523974163636,2.3809523975613223,2.3809523975616242,2.38095239756172,2.380952397750353,2.3809523975618525,Pao Frances
19.04761904868537,19.047619048707993,19.047619056170774,19.047619056185034,19.047619056185432,19.047619064936043,19.04761905619149,Pao de Forma Integral Wickbold
214.28571426555692,214.28571426044243,214.28571433367742,214.28571434812145,214.2857143505896,214.2857137185883,214.28571434861473,Frango Congelado Seara
23.80952383637101,23.8095238363476,23.80952382580376,23.809523825799833,23.809523825791818,23.809523829825356,23.80952382579501,Carne Moida Patinho Swift
50.53802648549239,50.5380264854294,50.5380261750944,50.53802617503764,50.53802617501537,50.53802622474099,50.53802617502468,Lombo Suino Temperado Swift
5.714285718078356,5.714285718076122,5.714285720257111,5.714285720252616,5.714285720251845,5.714285719700077,5.71428572025212,Atum Solido Gomes da Costa Natural
5.952380964642784,5.952380964640881,5.952380960545027,5.952380960542853,5.952380960542118,5.9523809638291905,5.95238096054241,Sardinha em oleo Gomes da Costa
23.809523811023887,23.809523811005786,23.809523829173383,23.80952382917043,23.80952382916398,23.809523823774914,23.809523829167194,File de Tilapia Frescatto
19.04761904345394,19.04761904337334,19.047619044727966,19.047619044656614,19.047619044652244,19.047619051419034,19.04761904465408,Cubos de Salmao Fresco
52.38095252739674,52.38095252735049,52.38095240006639,52.380952399961444,52.38095239994431,52.38095251679913,52.38095239994438,Ovos Vermelhos Galinha Caipira Qualita
49.11147426832009,49.1114742683787,49.1114743178573,49.111474317815784,49.111474317811144,49.11147435806836,49.11147431782184,Azeite de Oliva Andorinha
23.809523847633855,23.809523847650407,23.80952384878035,23.80952384878817,23.809523848790207,23.809523852746867,23.809523848792423,Cenoura Qualita
47.61904763229534,47.61904763229533,47.61904763229541,47.61904763229541,47.61904763229541,47.61904763229541,47.61904763229541,Brocolis Congelados Taeq
8.571428579416537,8.571428579417228,8.571428579752729,8.571428579753132,8.5714285797532,8.57142857981894,8.571428579753368,Couve Manteiga Qualita
11.904761913395458,11.904761913398177,11.904761914446166,11.904761914447493,11.90476191444768,11.90476191476935,11.904761914448388,Quiabo Qualita
14.285714328176741,14.285714328178424,14.285714327842566,14.285714327843408,14.285714327843555,14.285714324591314,14.285714327843834,Jilo
14.285714292510354,14.285714292512589,14.285714293694786,14.285714293695984,14.285714293696097,14.285714293884046,14.285714293696543,Vagem Macarrao Qualita
23.809523926985737,23.809523926988238,23.809523927136528,23.809523927137707,23.809523927138013,23.809523927658283,23.80952392713841,Abobora Moranga
23.809523833754074,23.809523833759915,23.80952383412798,23.809523834130797,23.809523834131454,23.809523835291614,23.80952383413228,Tomate
23.809523839547065,23.80952383955185,23.809523839864628,23.809523839867055,23.809523839867627,23.809523840821416,23.80952383986831,Pepino
38.095238127523245,38.095238127535175,38.095238128294426,38.09523812830013,38.09523812830162,38.0952381307199,38.09523812830329,Abobrinha Italiana
