Nome;Unidade Mercado;Quantidade Unidade Mercado (g);Quantidade Tabela Nutricional (g);Kcal Tabela Nutricional;Proteina(g);Carboidrato (g);Gordura (g);Preco Quantidade Mercado (Reais);LB Semanal;UB Semanal;LB Dia 1;UB Dia 1;LB Dia 2;UB Dia 2;LB Dia 3;UB Dia 3;url
Pao de Forma Integral Wickbold;1 pacote;400;50;136;7.3;17;1.8;15.99;100;400;0;0;0;400;0;0;https://www.paodeacucar.com/produto/342272/pao-de-forma-100-integral-wickbold-pacote-400g
Frango Congelado Seara;1 pacote;1000;100;104;22;0;1.5;19.99;300;1500;0;1500;0;0;0;0;https://www.paodeacucar.com/produto/217036/filezinho-de-frango-congelado-seara-pacote-1kg
Carne Moida Patinho Swift;1 pacote;500;100;129;21;0;5;24.48;300;1000;0;1000;0;0;0;0;https://www.swift.com.br/carne-moida-patinho-swift-500g/p?idsku=160
Lombo Suino Temperado Swift;1 peca;1000;100;125;19.6;0;5;24.98;300;1500;0;0;0;0;0;1500;https://www.swift.com.br/lombosuinotemperadoswiftkg/p
Atum Solido Gomes da Costa Natural;1 lata;120;60;81;17;0;1.6;10.29;120;240;0;0;0;240;0;0;https://www.paodeacucar.com/produto/43309/atum-solido-gomes-da-costa-natural-lata-120g
Sardinha em oleo Gomes da Costa;1 lata;125;60;114;14;0;6.5;6.69;125;250;0;0;0;250;0;0;https://www.paodeacucar.com/produto/43863/sardinha-em-oleo-gomes-da-costa-lata-125g
File de Tilapia Frescatto;1 pacote;500;60;44;9.2;0;0.7;29.9;320;1000;0;0;0;1000;0;0;https://www.portofrescatto.com.br/file-de-tilapia-500g/p
Cubos de Salmao Fresco;1 pacote;400;60;80;11;0;4;69;320;600;0;0;0;600;0;0;https://www.portofrescatto.com.br/cubos-de-salmao-fresco-400g/p
Ovos Vermelhos Galinha Caipira Qualita;20 ovos;1100;55;74;6.9;0;4.8;25.99;275;1100;0;1100;0;1100;0;1100;https://www.paodeacucar.com/produto/455115/ovos-vermelhos-de-galinha-caipira-qualita-bandeja-com-20-unidades
Azeite de Oliva Andorinha;1 vidro;458;11.9;108;0;0;12;29.99;40;200;0;200;0;200;0;200;https://www.paodeacucar.com/produto/86559/azeite-portugues-de-oliva-extra-virgem-andorinha-vidro-500ml
Cenoura Qualita;1 bandeja;500;50;21;0;4.8;0;4.35;160;750;0;0;0;750;0;0;https://www.paodeacucar.com/produto/72562/cenoura-comum-qualita-bandeja-500g
Brocolis Congelados Taeq;1 pacote;1000;130;56;0;0;0;18.99;150;1000;0;1000;0;0;0;1000;https://www.paodeacucar.com/produto/697120/brocolis-congelados-higienizados-taeq-1kg
Couve Manteiga Qualita;1 pacote;180;50;12;0.7;2.2;0;7.99;160;270;0;0;0;270;0;0;https://www.paodeacucar.com/produto/1163/couve-manteiga-picada-qualita-180g
Quiabo Qualita;1 bandeja;250;80;29;1.7;6.6;0;9.99;160;500;0;500;0;0;0;500;https://www.paodeacucar.com/produto/99726/quiabo-qualita-bandeja-250g
Jilo;1 bandeja;300;100;40;1;7;1;2.24;160;450;0;0;0;450;0;0;https://www.zonasul.com.br/jilo-cariorta-300g-98760/p
Vagem Macarrao Qualita;1 bandeja;300;60;15;1.1;3.2;0;14.99;160;450;0;0;0;450;0;0;https://www.paodeacucar.com/produto/136803/vagem-macarrao-qualita-300g
Abobora Moranga;1 pedaco;500;50;6;0;1.5;0;1.65;160;750;0;750;0;0;0;750;https://www.paodeacucar.com/produto/79589/abobora-moranga-pedaco-500g
Tomate;granel;500;50;10;0;2.3;0;5.66;160;500;0;0;0;500;0;0;https://www.paodeacucar.com/produto/67366/tomate-500g
Pepino;granel;500;50;7;0;1.7;0;5.07;160;500;0;500;0;0;0;500;https://www.paodeacucar.com/produto/171582/pepino-comum-500g
Abobrinha Italiana;granel;800;50;38;0;2;0;6.21;160;800;0;0;0;800;0;0;https://www.paodeacucar.com/produto/80045/abobrinha-italiana-800g
Queijo Mussarela Sadia;1 pacote;150;30;96;7.2;0.6;7.2;14.99;160;400;0;400;0;400;0;400;https://www.paodeacucar.com/produto/1548200/queijo-mussarela-fatiado-sadia-soltissimo-150g
Presunto Seara;1 pacote;150;40;35;6.6;0.5;0.7;6.46;160;400;0;400;0;400;0;400;https://www.paodeacucar.com/produto/593863/levissimo-seara-fatiado-150g
Requeijao;1 pote;200;30;80;3.1;0;7.4;6.99;50;300;0;300;0;300;0;300;https://www.paodeacucar.com/produto/334112/requeijao-cremoso-tradicional-catupiry-copo-200g
